большую часть дня,większość dnia
несмотря на это,mimo to
в последнее время,ostatnio coraz częściej
в течение,w ciągu ostatnich kilka lat
вести более здоровый образ жизни,prowadzić zdrowszy tryb życia
многие люди замечают что даже небольшая физическая активность в течение дня позитивно влияют на самочувствие,Wielu ludzi zauważa, że nawet krótki ruch w ciągu dnia ma pozytywny wpływ na samopoczucie
может привести к усталости,może prowadzić do zmęczenia
найти нужную информацию,znaleźć potrzebne informacje
обращая внимание на своё питание и физическую активность,zwracając uwagę na swoją dietę i aktywność fizyczną
отдых также важен как и работа,odpoczynek jest równie ważny jak praca
помогает мне расслабиться и отстраниться от повседневных проблем,Pomaga mi to się zrelaksować i nabrać dystansu do codziennych problemów.
разумное использование и сохранение баланса,rozsądne korzystanie i zachowanie równowagi
регулярные прогулки или упражнения,Regularne spacery lub ćwiczenia
семейные обязанности,obowiązki rodzinne
сохранять баланс между работой и личной жизнью,zachować równowagę między pracą a życiem prywatnym
улучшить физическую форму, но и снизить стресс после работы.,poprawić kondycję, ale także zmniejszyć stres po pracy.
чрезмерное использование технологии,nadmierne korzystanie z technologii
Я считаю, что,uważam, że
вместо,zamiast
кроме,oprócz
обычно,zazwyczaj
постоянно,ciągle
скорее,raczej
редко,rzadko
оказывается,okazuje się
легко,łatwo
хуже,gorzej
качество,jakość
действительно,rzeczywiście
провести (время),spędzić
совершенно,zupełnie
иначе,inaczej
огромный,ogromny
условия,warunki
серьёзно,poważnie
я должен (м.р.),powinienem
уменьшить,zmniejszyć
увеличить,zwiększyć
лишний вес,nadwaga
я согласен с тобой,zgadzam się z tobą
цены растут,ceny rosną
уладить дело,załatwić sprawę
они смеются,oni się śmieją
он носит коричневую куртку,on nosi brązową kurtkę
моя жена предпочитает,moja żona woli
принять участие в курсе польского языка,wziąć udział w kursie języka polskiego
трудности с произношением,trudności z wymową
он сказал мне это вчера,powiedział mi to wczoraj
достаточно,wystarczy
я рад что нам удастся отдохнуть,cieszę się że uda nam się odpocząć
атмосфера в целом позитивная,atmosfera jest w ogóle pozytywna
перерыв,przerwa
моей мечтой было стать футболистом,moim marzeniem było zostać piłkarzem
питание,odżywianie
она слышала что там красивое море и не слишком дорого,słyszała że tam jest piękne morze i nie jest zbyt drogo
он сказал что мне следует больше практиковать,powiedział że powinienem więcej ćwiczyć
я решил записаться на разговорные встречи,postanowiłem zapisać się na spotkania konwersacyjne
зависеть,zależeć
нам ещё нужно забронировать отель,musimy jeszcze zarezerwować hotel
сначала поедем на море,pojedziemy najpierw nad morze
салон красоты и парикмахерская,salon urody i fryzjerski
мне казалось что это было отлично и очень классно,wydawało mi się że to było świetnie i bardzo fajnie
болельщики смотрели матч чемпионата мира на стадионе,kibice oglądali mecz mistrzostw świata na stadionie
сначала / в начале,na początku
столько,tyle
приём пищи,posiłek
вид/тип,rodzaj
хотя бы,przynajmniej
чувствую себя обескураженным когда делаю ошибки,czuję się zniechęcony gdy robię błędy
гордый,dumny
ходить в походы по горам,wędrować po górach
он чувствует себя комфортно,on czuje się wygodnie
это для него удобно,to jest dla niego wygodne
вернуться,wrócić
он доволен услугой,jest zadowolony z usługi
я заметил,zauważyłem
плюсы и минусы,zalety i wady
не сдаваться,nie poddawać się
раздумываю,zastanawiam się
количество (неисчисляемое),ilość
количество/число (исчисляемое),liczba
разговаривать (друг с другом),rozmawiać (ze sobą)
вместо того чтобы встретиться,zamiast spotkać się
серьёзный (прилагательное),poważne/poważny
знания (источник знаний),wiedza (źródło wiedzy)
навыки/умения,umiejętności
откладывать,odkładać
подключение к интернету,połączenie z internetem
удобство,wygoda
установить (правила),ustalić
правила,zasady
справиться/посоветовать,poradzić
всё время/постоянно,cały czas
выбор профессии,wybór zawodu
тысяча,tysiąc
тысяч (родительный мн.ч.),tysięcy
