осматривать,zwiedzać
осмотр достопримечательностей,zwiedzanie
визит,wizyta
суета/шум,zgiełk
прежде чем,zanim
только тогда/лишь,dopiero
изматывающий,wyczerpujący
кажется,wydaje się
вовсе (в отрицании),wcale
лишь/только,jedynie
передышка,wytchnienie
повседневность,codzienność
рассвет,świt
незабываемый/ая/ое,niezapomniany/niezapomniana/niezapomniane
будет изматывающим (м/ж/ср),będzie wyczerpujący/wyczerpująca/wyczerpujące
будут изматывающими,będą wyczerpujący/wyczerpujące
как можно больше,jak najwięcej
я вернулся,wróciłem
